# source	target	kind	note
賛美	讃美	pending	文化廳「同音の漢字による書きかえ」
賛辞	讃辞	pending	文化廳「同音の漢字による書きかえ」
踏襲	蹈襲	pending	文化廳「同音の漢字による書きかえ」
車両	車輌	pending	文化廳「同音の漢字による書きかえ」
転倒	顚倒	pending	文化廳「同音の漢字による書きかえ」
転覆	顚覆	pending	文化廳「同音の漢字による書きかえ」
輪郭	輪廓	pending	文化廳「同音の漢字による書きかえ」
辺境	辺疆	pending	文化廳「同音の漢字による書きかえ」
退勢	頽勢	pending	文化廳「同音の漢字による書きかえ」
退廃	頽廃	pending	文化廳「同音の漢字による書きかえ」
退色	褪色	pending	文化廳「同音の漢字による書きかえ」
途絶	杜絶	pending	文化廳「同音の漢字による書きかえ」
連係	連繋	pending	文化廳「同音の漢字による書きかえ」
連合	聯合	pending	文化廳「同音の漢字による書きかえ」
連座	連坐	pending	文化廳「同音の漢字による書きかえ」
連想	聯想	pending	文化廳「同音の漢字による書きかえ」
連珠	聯珠	pending	文化廳「同音の漢字による書きかえ」
連盟	聯盟	pending	文化廳「同音の漢字による書きかえ」
連立	聯立	pending	文化廳「同音の漢字による書きかえ」
連絡	聯絡	pending	文化廳「同音の漢字による書きかえ」
連邦	聯邦	pending	文化廳「同音の漢字による書きかえ」
選考	銓衡	pending	文化廳「同音の漢字による書きかえ」
遺跡	遺蹟	pending	文化廳「同音の漢字による書きかえ」
郭大	廓大	pending	文化廳「同音の漢字による書きかえ」
酢酸	醋酸	pending	文化廳「同音の漢字による書きかえ」
里謡	俚謡	pending	文化廳「同音の漢字による書きかえ」
野卑	野鄙	pending	文化廳「同音の漢字による書きかえ」
針術	鍼術	pending	文化廳「同音の漢字による書きかえ」
鉱業	礦業	pending	文化廳「同音の漢字による書きかえ」
鉱石	礦石	pending	文化廳「同音の漢字による書きかえ」
長編	長篇	pending	文化廳「同音の漢字による書きかえ」
開削	開鑿	pending	文化廳「同音の漢字による書きかえ」
間欠	間歇	pending	文化廳「同音の漢字による書きかえ」
防御	防禦	pending	文化廳「同音の漢字による書きかえ」
阻喪	沮喪	pending	文化廳「同音の漢字による書きかえ」
阻止	沮止	pending	文化廳「同音の漢字による書きかえ」
陰影	陰翳	pending	文化廳「同音の漢字による書きかえ」
険阻	嶮岨	pending	文化廳「同音の漢字による書きかえ」
障壁	牆壁	pending	文化廳「同音の漢字による書きかえ」
障害	障碍	pending	文化廳「同音の漢字による書きかえ」
集荷	蒐荷	pending	文化廳「同音の漢字による書きかえ」
集落	聚落	pending	文化廳「同音の漢字による書きかえ」
雇用	雇傭	pending	文化廳「同音の漢字による書きかえ」
